RN|CCTVID|CCTVNAME|CENTERNAME|XCOORD|YCOORD
1|L933103|강원 강릉 주문진방파제|KBS 재난포털|128.83349609|37.89340973
2|L933094|강원 속초 등대전망대|KBS 재난포털|128.60009766|38.21339035
3|L933097|강원 평창 대관령|KBS 재난포털|128.75527954|37.69804001
4|L933080|경기 가평 가평2교(북한강)|KBS 재난포털|127.52288818|37.83100891
5|L933082|경기 구리 수택동(왕숙천)|KBS 재난포털|127.15023041|37.59938049
6|L933064|경기 파주 감악산 일대|KBS 재난포털|126.97019958|37.9417038
7|L933085|경남 밀양 삼랑진(낙동강)|KBS 재난포털|128.82519531|35.38454819
8|L933093|경남 창원 마산항|KBS 재난포털|128.57600403|35.19784927
9|L933095|경북 울릉 저동항|KBS 재난포털|130.91218567|37.49132156
10|L933096|경북 포항 두호동 해안로|KBS 재난포털|129.3895874|36.06269073
11|L933077|대구 동구 신천동(신천)|KBS 재난포털|128.60972595|35.87561035
12|L933078|대전 유성 구성동(갑천)|KBS 재난포털|127.37384796|36.37240982
13|L933065|독도|KBS 재난포털|131.86860657|37.23936081
14|L933075|부산 동래 세병교(온천천)|KBS 재난포털|129.08250427|35.19768143
15|L933099|부산 수영 민락항 앞|KBS 재난포털|129.13121033|35.153759
16|L933107|서울 강남 강남대로|KBS 재난포털|127.02619934|37.5013504
17|L933104|서울 강남 대치역사거리|KBS 재난포털|127.06284332|37.49451065
18|L933074|서울 노원 월계동(중랑천)|KBS 재난포털|127.06269836|37.63238144
19|L933073|서울 마포 성산교(홍제천)|KBS 재난포털|126.89992523|37.56269073
20|L933106|서울 서초 반포한강공원|KBS 재난포털|126.99711609|37.51171875
21|L933098|서울 서초 서초대로|KBS 재난포털|127.0243454|37.49713898
22|L933081|서울 서초 양재동(양재천)|KBS 재난포털|127.03795624|37.47327042
23|L933071|서울 송파 롯데타워1|KBS 재난포털|127.10276031|37.51285934
24|L933072|서울 송파 롯데타워2|KBS 재난포털|127.10134888|37.51268005
25|L933105|서울 송파 탄천주차장|KBS 재난포털|127.0697403|37.51472855
26|L933069|서울 영등포 여의도|KBS 재난포털|126.9199295|37.52219009
27|L933067|서울 용산 한강|KBS 재난포털|127.00511932|37.52774811
28|L933070|서울 중구 서울광장|KBS 재난포털|126.97799683|37.56557083
29|L933063|울산 KBS울산방송국|KBS 재난포털|129.32653809|35.54419708
30|L933066|인천 옹진 연평도|KBS 재난포털|125.69450378|37.66199875
31|L933089|인천 중구 연안부두|KBS 재난포털|126.59861755|37.45413971
32|L933086|전남 나주 나주대교(영산강)|KBS 재난포털|126.7321701|35.03718948
33|L933100|전남 목포 목포북항|KBS 재난포털|126.36519623|34.80419922
34|L933091|전남 신안 가거도|KBS 재난포털|125.12927246|34.05292892
35|L933101|전남 여수 거문도|KBS 재난포털|127.30738068|34.02315903
36|L933102|전남 여수 오동도 앞|KBS 재난포털|127.75569916|34.74097824
37|L933092|전남 완도 완도항|KBS 재난포털|126.74885559|34.32091141
38|L933087|전북 군산 비응항|KBS 재난포털|126.52654266|35.93531036
39|L933079|전북 남원 뱀사골(지리산)|KBS 재난포털|127.57956696|35.37289047
40|L933062|제주 KBS제주방송총국|KBS 재난포털|127.1050415|35.82289505
41|L933090|제주 서귀포 마라도|KBS 재난포털|126.26837921|33.11392212
42|L933061|제주 서귀포 성산일출봉|KBS 재난포털|126.93032837|33.43271255
43|L933084|충남 공주 금강교(금강)|KBS 재난포털|127.12638855|36.47092056
44|L933068|충남 태안 격렬비열도|KBS 재난포털|125.55857086|36.62527084
45|L933088|충남 태안 근흥면 신진항|KBS 재난포털|126.13652802|36.67787933
46|L933083|충북 단양 도담삼봉|KBS 재난포털|128.3419342|37.0005188
47|L933076|충북 청주 사직동(무심천)|KBS 재난포털|127.48226929|36.63582993
48|L280068|6번교차로-01|거제교통정보센터|128.6218785|34.8915019
49|L280069|6번교차로-02|거제교통정보센터|128.6213611|34.891383
50|L280070|6번교차로-03|거제교통정보센터|128.6217582|34.8912017
51|L280071|6번교차로-04|거제교통정보센터|128.6215459|34.8916603
52|L280056|가덕영업소|거제교통정보센터|128.8173442|35.0256198
53|L280051|거가1교|거제교통정보센터|128.7319259|35.0177349
54|L280050|거가1교(저도방향)|거제교통정보센터|128.7319259|35.0177349
55|L280052|거가2교|거제교통정보센터|128.758293|35.0146692
56|L280001|거제면 귀목정|거제교통정보센터|128.5819564|34.86278339
57|L280002|거제면 서정사거리|거제교통정보센터|128.5850852|34.8552036
58|L280049|거제영업소|거제교통정보센터|128.7063061|35.013611
59|L280003|고현동 고현버스터미널사거리|거제교통정보센터|128.6241776|34.8919761
60|L280004|고현동 고현사거리|거제교통정보센터|128.6239052|34.88719857
61|L280005|고현동 공설운동장교차로|거제교통정보센터|128.6205228|34.88311517
62|L280006|고현동 보건소밑|거제교통정보센터|128.6361869|34.89212535
63|L280007|남부면 도장포마을교차로|거제교통정보센터|128.6607614|34.7402533
64|L280008|남부면 저구삼거리|거제교통정보센터|128.6136415|34.7300588
65|L280009|남부면 함목삼거리|거제교통정보센터|128.6507193|34.7416547
66|L280010|덕포동 덕포교차로|거제교통정보센터|128.7072378|34.9146874
67|L280011|덕포동 하덕마을교차로|거제교통정보센터|128.7040128|34.91079013
68|L280012|동부면 연담삼거리|거제교통정보센터|128.6296646|34.8102623
69|L280013|동부면 학동삼거리|거제교통정보센터|128.6409485|34.7746521
70|L280014|동부면 학동삼거리1|거제교통정보센터|128.640994|34.774894
71|L280015|동부면 학동삼거리2|거제교통정보센터|128.641214|34.77509
72|L280016|문동동 상동교차로|거제교통정보센터|128.6405141|34.8660624
73|L280017|사등면 구거제대교|거제교통정보센터|128.476879|34.88339791
